source,path,shape,dtype,size,min,max,mean,sum,sha256
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_3D/SHOW_2D_ELEMENTS,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_3D/SHOW_3D_BACKPLANE,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/COLOR_DISPLAY/DISPLAY_SETTING,[1],|S9,1,,,,,d713a2e61e065f73257d78cf36c87fb049a1f14b1ad98cee88d4848390f8136c
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_X/PAN_V2,[1],float64,1,0.5,0.5,0.5,0.5,4cfa5b42ca669328764e67cd9a34bb8f90b16ed7ca8d85e8443783d7ccce15ed
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_X/SHOW_BEAM_WIDTH,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_X/SHOW_CALIPER,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_X/SHOW_GAUSS_FIT,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_X/SHOW_TOPHAT,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_X/ZOOM_V2,[1],float64,1,0.0,0.0,0.0,0.0,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_Y/PAN_V2,[1],float64,1,0.5,0.5,0.5,0.5,4cfa5b42ca669328764e67cd9a34bb8f90b16ed7ca8d85e8443783d7ccce15ed
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_Y/SHOW_BEAM_WIDTH,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
