z_mm,baseline_d4x_um,baseline_d4y_um,baseline_ellipticity,robust_d4x_um,robust_d4y_um,robust_ellipticity,point_d4x_um,point_d4y_um,point_ellipticity
200.5,1625.3324458096704,1595.8160606562226,1.01849610734041,,1595.8160606562226,,,1595.8160606562226,
201.0,1608.8636000409822,1575.3040302391926,1.0213035510336972,,1575.3040302391926,,,1575.3040302391926,
201.5,1592.4690510413343,1554.8239189959345,1.02421182976765,,1554.8239189959345,,,1554.8239189959345,
202.0,1576.151117236104,1534.37700505138,1.0272254550525706,,1534.37700505138,,,1534.37700505138,
202.5,1559.912202996445,1513.9646334487284,1.030349169678456,,1513.9646334487284,,,1513.9646334487284,
203.0,1543.7548019689848,1493.5882204246177,1.0335879600939173,,1493.5882204246177,,,1493.5882204246177,
203.5,1527.681500509792,1473.2492580019666,1.0369470693517584,,1473.2492580019666,,,1473.2492580019666,
204.0,1511.694981221368,1452.9493189268671,1.040432010620914,,1452.9493189268671,,,1452.9493189268671,
204.5,1495.7980265906117,1432.6900619782646,1.0440485812578384,,1432.6900619782646,,,1432.6900619782646,
205.0,1479.9935227247915,1412.4732376817103,1.0478028774222314,,1412.4732376817103,,,1412.4732376817103,
205.5,1464.2844631815158,1392.3006944612782,1.0517013092118654,,1392.3006944612782,,,1392.3006944612782,
206.0,1448.6739528875,1372.1743852667544,1.0557506162789025,,1372.1743852667544,,,1372.1743852667544,
206.5,1433.1652121395784,1352.096374716524,1.0599578838749946,,1352.096374716524,,,1352.096374716524,
207.0,1417.7615806798915,1332.0688468001465,1.0643305592541956,,1332.0688468001465,,,1332.0688468001465,
207.5,1402.4665218354692,1312.0941131884983,1.0688764683406424,,1312.0941131884983,,,1312.0941131884983,
208.0,1387.2836267105172,1292.1746222035492,1.0736038325414397,,1292.1746222035492,,,1292.1746222035492,
208.5,1372.2166184175755,1272.3129685043664,1.0785212855533872,,1272.3129685043664,,,1272.3129685043664,
209.0,1357.2693563313508,1252.511903550794,1.0836378899741999,,1252.511903550794,,,1252.511903550794,
209.5,1342.4458403463977,1232.7743469114728,1.0889631534835957,,1232.7743469114728,,,1232.7743469114728,
210.0,1327.7502151169267,1213.1033984884048,1.0945070443058509,,1213.1033984884048,,,1213.1033984884048,
210.5,1313.1867742538448,1193.5023517361665,1.1002800056016442,,1193.5023517361665,,,1193.5023517361665,
211.0,1298.7599644506538,1173.9747079600722,1.1062929683616536,,1173.9747079600722,,,1173.9747079600722,
211.5,1284.4743895060665,1154.5241917840647,1.1125573622854903,,1154.5241917840647,,,1154.5241917840647,
212.0,1270.3348142070947,1135.1547678858121,1.119085124025027,,1135.1547678858121,,,1135.1547678858121,
212.5,1256.3461680319792,1115.870659103317,1.1258887020486268,,1115.870659103317,,,1115.870659103317,
213.0,1242.51354862761,1096.6763660241718,1.1329810572394734,,1096.6763660241718,,,1096.6763660241718,
213.5,1228.842225011082,1077.5766881752913,1.1403756581742088,,1077.5766881752913,,,1077.5766881752913,
214.0,1215.3376404397548,1058.5767469372306,1.1480864698342172,,1058.5767469372306,,,1058.5767469372306,
214.5,1202.0054148886468,1039.682010312828,1.156127934277691,,1039.682010312828,,,1039.682010312828,
215.0,1188.8513470682774,1020.8983196844686,1.1645149415425804,,1020.8983196844686,,,1020.8983196844686,
215.5,1175.881415910193,1002.2319186972411,1.1732627887551932,,1002.2319186972411,,,1002.2319186972411,
